representative protein;other proteins in group;description;sequence length;monoisotopic mass;% of protein sequence covered by peptides;peptides count;intensity in 2019-019-04 HYE Mix A 1;intensity in 2019-019-04 HYE Mix A 2;intensity in 2019-019-04 HYE Mix A 3;intensity in 2019-019-05 HYE Mix B 1;intensity in 2019-019-05 HYE Mix B 2;intensity in 2019-019-05 HYE Mix B 3
TCPQ_HUMAN;;T-complex protein 1 subunit theta OS=Homo sapiens OX=9606 GN=CCT8 PE=1 SV=4;548;59582.506;64.23;33;3004311;2654769;2792948;2912922;2849935;3085361
RS4_ECOLI;;30S ribosomal protein S4 OS=Escherichia coli (strain K12) OX=83333 GN=rpsD PE=1 SV=2;206;23454.629;64.08;13;321716;377414;366532;1271999;1137248;1065818
C8ZG95_YEAS8;;Peptidylprolyl isomerase OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1N9_2223g PE=4 SV=1;114;12150.314;64.04;6;389179;446198;441079;198094;197180;208072
RS3A_HUMAN;;40S ribosomal protein S3a OS=Homo sapiens OX=9606 GN=RPS3A PE=1 SV=2;264;29925.739;64.02;20;2719611;2849513;2743112;2810514;2794596;2950244
RS7_HUMAN;;40S ribosomal protein S7 OS=Homo sapiens OX=9606 GN=RPS7 PE=1 SV=1;194;22113.258;63.92;11;831818;913348;955846;903725;748275;749478
C8ZEH6_YEAS8;;Tsa1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1M3_1222g PE=4 SV=1;196;21576.255;63.78;11;1012515;1177078;1098154;561126;526781;581951
QCR6_HUMAN;;Cytochrome b-c1 complex subunit 6, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRH PE=1 SV=2;91;10731.94;63.74;4;102741;189588;208169;238905;187649;126777
TCPG_HUMAN;;T-complex protein 1 subunit gamma OS=Homo sapiens OX=9606 GN=CCT3 PE=1 SV=4;545;60495.318;63.67;27;2637200;3091772;2808792;2632145;2589697;2833115
TERA_HUMAN;;Transitional endoplasmic reticulum ATPase OS=Homo sapiens OX=9606 GN=VCP PE=1 SV=4;806;89265.719;63.52;41;4714227;4836150;4958587;4357259;4821205;4674512
BIP_HUMAN;;Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2;654;72288.436;63.46;37;5811273;5480481;5681306;5779068;5757460;5781349
TCPA_HUMAN;;T-complex protein 1 subunit alpha OS=Homo sapiens OX=9606 GN=TCP1 PE=1 SV=1;556;60305.582;63.31;28;2773346;2829069;2685367;2526064;2530247;2719047
C8ZDW2_YEAS8;;Ketol-acid reductoisomerase, mitochondrial OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1L7_2245g PE=3 SV=1;395;44340.676;63.29;18;2101904;1975713;2045252;1176036;1139735;1167850
C8Z499_YEAS8;;Phosphoglycerate kinase OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1C17_0859g PE=3 SV=2;416;44710.821;63.22;24;4097995;4231968;4311875;2727421;2814851;2753811
PCNA_HUMAN;;Proliferating cell nuclear antigen OS=Homo sapiens OX=9606 GN=PCNA PE=1 SV=1;261;28750.293;63.22;13;1644265;1832152;1729223;1547070;1756332;1787210
C8ZDE0_YEAS8;;Rps31p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1L7_0067g PE=4 SV=1;152;17205.351;63.16;11;896350;1037903;956109;783187;662680;578779
RL5_ECOLI;;50S ribosomal protein L5 OS=Escherichia coli (strain K12) OX=83333 GN=rplE PE=1 SV=2;179;20288.702;63.13;13;402691;422709;513450;1439942;1330766;1378829
RL21_ECOLI;;50S ribosomal protein L21 OS=Escherichia coli (strain K12) OX=83333 GN=rplU PE=1 SV=1;103;11557.195;63.11;6;263782;167058;216772;564749;582434;734152
RS15A_HUMAN;;40S ribosomal protein S15a OS=Homo sapiens OX=9606 GN=RPS15A PE=1 SV=2;130;14829.967;63.08;10;705707;636202;697429;685188;655244;736791
HSP74_HUMAN;;Heat shock 70 kDa protein 4 OS=Homo sapiens OX=9606 GN=HSPA4 PE=1 SV=4;840;94271.24;62.98;42;3358832;3177211;3189685;3095780;2925065;3102233
XRCC5_HUMAN;;X-ray repair cross-complementing protein 5 OS=Homo sapiens OX=9606 GN=XRCC5 PE=1 SV=3;732;82652.276;62.84;33;2759202;3022794;2939303;2885557;2940876;2808141
ANXA5_HUMAN;;Annexin A5 OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=2;320;35914.401;62.81;18;1917679;1990663;1961004;1816405;1911163;1881823
PTGA_ECOLI;;PTS system glucose-specific EIIA component OS=Escherichia coli (strain K12) OX=83333 GN=crr PE=1 SV=2;169;18239.743;62.72;8;518781;479090;471593;1490191;1292449;1269576
H2B1L_HUMAN;;Histone H2B type 1-L OS=Homo sapiens OX=9606 GN=HIST1H2BL PE=1 SV=3;126;13943.599;62.7;10;4445515;4619166;4482430;3930719;4326882;4621116
C8Z9Z2_YEAS8;;Egd2p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1H13_1794g PE=4 SV=1;174;18697.546;62.64;6;694317;674057;649770;363365;375073;342595
C8ZIP9_YEAS8;;Rpl5p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1P2_1640g PE=3 SV=1;297;33694.155;62.63;14;1846761;1795640;1843508;1044945;1076240;1097217
C8Z865_YEAS8;;Cox4p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1G1_0903g PE=4 SV=1;155;17131.701;62.58;6;564089;548721;547880;1007603;320463;323261
MDHM_HUMAN;;Malate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=MDH2 PE=1 SV=3;338;35480.733;62.43;19;2178656;2561490;2433654;2955296;2847365;2926638
SAE1_HUMAN;;SUMO-activating enzyme subunit 1 OS=Homo sapiens OX=9606 GN=SAE1 PE=1 SV=1;346;38425.564;62.43;14;553786;468185;521030;491500;494930;468756
RL18_ECOLI;;50S ribosomal protein L18 OS=Escherichia coli (strain K12) OX=83333 GN=rplR PE=1 SV=1;117;12761.932;62.39;7;184732;192515;197365;793754;822581;806338
PGK1_HUMAN;;Phosphoglycerate kinase 1 OS=Homo sapiens OX=9606 GN=PGK1 PE=1 SV=3;417;44586.127;62.35;23;5958911;5803080;5905780;5644780;5190937;6036638
IF4A1_HUMAN;;Eukaryotic initiation factor 4A-I OS=Homo sapiens OX=9606 GN=EIF4A1 PE=1 SV=1;406;46124.556;62.32;24;3020995;3128985;3113370;3209767;3135176;3124713
C8Z7Y9_YEAS8;;Phosphotransferase OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1F14_1574g PE=3 SV=1;485;53662.434;62.27;23;3567964;3572877;3589476;2189134;2151364;2211997
C8ZD16_YEAS8;;Pdc1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1L10_1178g PE=3 SV=1;563;61490.716;62.17;24;7556618;7631037;7442827;4771299;4719651;4890193
RACK1_HUMAN;;Receptor of activated protein C kinase 1 OS=Homo sapiens OX=9606 GN=RACK1 PE=1 SV=3;317;35054.558;62.15;13;857616;996917;925057;690237;1060584;938702
ACTN4_HUMAN;;Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2;911;104788.474;62.13;49;6516228;6364254;6455136;6054144;6133225;5811520
C8ZDQ8_YEAS8;;Atp14p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1L7_1530g PE=4 SV=1;124;14133.18;62.1;4;415250;402581;379832;185867;191881;201494
ALDA_ECOLI;;Lactaldehyde dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=aldA PE=1 SV=2;479;52239.728;62.0;22;1435645;1517808;1250508;4056496;3832406;3883584
YBEL_ECOLI;;Uncharacterized protein YbeL OS=Escherichia coli (strain K12) OX=83333 GN=ybeL PE=4 SV=1;160;18785.368;61.88;8;89327;101313;104651;522800;565161;504137
PCKA_ECOLI;;Phosphoenolpyruvate carboxykinase (ATP) OS=Escherichia coli (strain K12) OX=83333 GN=pckA PE=1 SV=2;540;59606.007;61.85;19;439107;433647;471635;2133039;1887453;1792882
RLA0_HUMAN;;60S acidic ribosomal protein P0 OS=Homo sapiens OX=9606 GN=RPLP0 PE=1 SV=1;317;34251.798;61.83;18;2904077;2764695;2784993;2805910;2729620;2405184
USPA_ECOLI;;Universal stress protein A OS=Escherichia coli (strain K12) OX=83333 GN=uspA PE=1 SV=2;144;16056.148;61.81;5;281653;290280;274624;725801;685241;661461
PRDX1_HUMAN;;Peroxiredoxin-1 OS=Homo sapiens OX=9606 GN=PRDX1 PE=1 SV=1;199;22096.279;61.81;12;4270744;4324832;4320879;4188004;4321508;4351031
TIG_ECOLI;;Trigger factor OS=Escherichia coli (strain K12) OX=83333 GN=tig PE=1 SV=1;432;48162.863;61.81;23;983063;1002741;1135352;3916721;3873523;3846694
D3UFA5_YEAS8;C8ZHJ5_YEAS8 D3UFA5_YEAS8;Rps19bp OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1N9_0331g PE=4 SV=1;144;15881.31;61.81;9;1147942;1207464;1200616;618531;664029;669207
FLNA_HUMAN;;Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4;2647;280563.873;61.65;114;18598035;18987017;19065282;17823764;18126676;18725299
PTNAB_ECOLI;;PTS system mannose-specific EIIAB component OS=Escherichia coli (strain K12) OX=83333 GN=manX PE=1 SV=2;323;35025.502;61.61;16;221033;247610;245156;927323;933502;875948
DPOE4_HUMAN;;DNA polymerase epsilon subunit 4 OS=Homo sapiens OX=9606 GN=POLE4 PE=1 SV=2;117;12201.291;61.54;4;31578;26221;27209;25894;28384;27225
RS6_ECOLI;;30S ribosomal protein S6 OS=Escherichia coli (strain K12) OX=83333 GN=rpsF PE=1 SV=1;135;15693.61;61.48;7;195423;273953;277199;1155409;1010273;1150549
GRP75_HUMAN;;Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2;679;73634.773;61.41;39;4907971;5068262;5090682;4867625;5173590;5047329
1433B_HUMAN;;14-3-3 protein beta/alpha OS=Homo sapiens OX=9606 GN=YWHAB PE=1 SV=3;246;28064.831;61.38;14;1735217;1657653;1726801;1693256;1687530;1299887
LMNA_HUMAN;;Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1;664;74094.708;61.3;47;6110199;6171129;6353457;6306824;6231842;6473199
ARGT_ECOLI;;Lysine/arginine/ornithine-binding periplasmic protein OS=Escherichia coli (strain K12) OX=83333 GN=argT PE=1 SV=3;260;27974.252;61.15;13;256757;245772;226823;991208;994464;953988
PCBP1_HUMAN;;Poly(rC)-binding protein 1 OS=Homo sapiens OX=9606 GN=PCBP1 PE=1 SV=2;356;37473.943;60.96;14;1373379;1353057;1350474;1161432;1344095;1247148
CYC_HUMAN;;Cytochrome c OS=Homo sapiens OX=9606 GN=CYCS PE=1 SV=2;105;11741.126;60.95;6;581912;583501;522332;503352;550186;537260
OMPT_ECOLI;;Protease 7 OS=Escherichia coli (strain K12) OX=83333 GN=ompT PE=1 SV=1;317;35540.285;60.88;15;409820;401028;429704;1302925;1383716;1326080
YIHD_ECOLI;;Protein YihD OS=Escherichia coli (strain K12) OX=83333 GN=yihD PE=1 SV=1;89;10266.437;60.67;4;12084;15575;19681;87027;72348;89126
MOES_HUMAN;;Moesin OS=Homo sapiens OX=9606 GN=MSN PE=1 SV=3;577;67777.79;60.66;38;2962737;3113924;2855690;3034936;2913459;2957969
C8ZF50_YEAS8;;Hsc82p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1M3_3785g PE=3 SV=1;705;80807.641;60.43;41;2504224;2695963;2674090;1688385;1257962;1419848
KBP_ECOLI;;Potassium binding protein Kbp OS=Escherichia coli (strain K12) OX=83333 GN=kbp PE=1 SV=2;149;16053.285;60.4;9;372097;421590;413898;1156260;1206993;1030477
RAP1B_HUMAN;;Ras-related protein Rap-1b OS=Homo sapiens OX=9606 GN=RAP1B PE=1 SV=1;184;20811.593;60.33;9;255963;249396;242323;211381;236163;203453
YCHF_ECOLI;;Ribosome-binding ATPase YchF OS=Escherichia coli (strain K12) OX=83333 GN=ychF PE=1 SV=2;363;39642.271;60.33;14;81424;86030;80710;401232;376344;413718
ALF_ECOLI;;Fructose-bisphosphate aldolase class 2 OS=Escherichia coli (strain K12) OX=83333 GN=fbaA PE=1 SV=2;359;39122.608;60.17;15;2778775;2774541;2913355;5949433;6166912;6723923
RS3_HUMAN;;40S ribosomal protein S3 OS=Homo sapiens OX=9606 GN=RPS3 PE=1 SV=2;243;26671.43;60.08;14;1705417;1743485;1686806;1620987;1703230;1677974
ILF2_HUMAN;;Interleukin enhancer-binding factor 2 OS=Homo sapiens OX=9606 GN=ILF2 PE=1 SV=2;390;43035.187;60.0;17;964701;975808;1053343;978849;946904;929563
RL30_HUMAN;;60S ribosomal protein L30 OS=Homo sapiens OX=9606 GN=RPL30 PE=1 SV=2;115;12775.742;60.0;6;1019422;980503;991180;913457;1017192;1003671
1433G_HUMAN;;14-3-3 protein gamma OS=Homo sapiens OX=9606 GN=YWHAG PE=1 SV=2;247;28284.913;59.92;13;1163848;1195363;1197487;1209909;1118675;1170039
AK1C3_HUMAN;;Aldo-keto reductase family 1 member C3 OS=Homo sapiens OX=9606 GN=AKR1C3 PE=1 SV=4;323;36829.841;59.75;17;809771;657250;1205731;1180386;1111291;1068185
ALF1_ECOLI;;Fructose-bisphosphate aldolase class 1 OS=Escherichia coli (strain K12) OX=83333 GN=fbaB PE=1 SV=2;350;38085.171;59.71;12;341537;388100;404876;1423419;1184222;1262627
HINT_ECOLI;;Purine nucleoside phosphoramidase OS=Escherichia coli (strain K12) OX=83333 GN=hinT PE=1 SV=1;119;13232.898;59.66;4;93441;96242;48039;335309;330217;357964
RL24_ECOLI;;50S ribosomal protein L24 OS=Escherichia coli (strain K12) OX=83333 GN=rplX PE=1 SV=2;104;11309.31;59.62;5;119221;107372;105812;393523;272480;410389
ACSA_ECOLI;;Acetyl-coenzyme A synthetase OS=Escherichia coli (strain K12) OX=83333 GN=acs PE=1 SV=2;652;72048.247;59.51;24;531404;532532;582921;2404620;2332314;2311656
ATPD_ECOLI;;ATP synthase subunit delta OS=Escherichia coli (strain K12) OX=83333 GN=atpH PE=1 SV=1;177;19319.962;59.32;8;141996;142896;146024;531426;514197;529509
ARTI_ECOLI;;Putative ABC transporter arginine-binding protein 2 OS=Escherichia coli (strain K12) OX=83333 GN=artI PE=1 SV=3;243;26912.732;59.26;9;107820;115725;114608;526724;562011;574686
CISY_ECOLI;;Citrate synthase OS=Escherichia coli (strain K12) OX=83333 GN=gltA PE=1 SV=1;427;47983.905;59.25;17;984706;1067186;1065697;3194153;3215729;3154746
RPOB_ECOLI;;DNA-directed RNA polymerase subunit beta OS=Escherichia coli (strain K12) OX=83333 GN=rpoB PE=1 SV=1;1342;150538.289;59.24;54;1220515;1189832;1198073;4984391;5175691;5075906
RS8_ECOLI;;30S ribosomal protein S8 OS=Escherichia coli (strain K12) OX=83333 GN=rpsH PE=1 SV=2;130;14117.521;59.23;8;295529;198746;187774;966527;1205738;947982
H4_HUMAN;;Histone H4 OS=Homo sapiens OX=9606 GN=HIST1H4A PE=1 SV=2;103;11360.382;59.22;8;1357323;2238603;1969341;2283141;2253053;2673291
1433T_HUMAN;;14-3-3 protein theta OS=Homo sapiens OX=9606 GN=YWHAQ PE=1 SV=1;245;27746.767;59.18;12;1583190;1633935;1604984;1773940;1571131;1582330
ADHE_ECOLI;;Aldehyde-alcohol dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=adhE PE=1 SV=2;891;96066.662;59.15;35;1205640;1193699;1261860;4923507;5142631;4732048
YEGP_ECOLI;;UPF0339 protein YegP OS=Escherichia coli (strain K12) OX=83333 GN=yegP PE=1 SV=2;110;12016.973;59.09;6;34107;35578;32580;216320;232347;218554
CBX3_HUMAN;;Chromobox protein homolog 3 OS=Homo sapiens OX=9606 GN=CBX3 PE=1 SV=4;183;20798.349;59.02;9;1448468;1407544;1522613;1509292;1524163;1485058
VDAC1_HUMAN;;Voltage-dependent anion-selective channel protein 1 OS=Homo sapiens OX=9606 GN=VDAC1 PE=1 SV=2;283;30753.57;59.01;13;2155917;2129305;2053780;1876494;2365594;2287157
K1PF_ECOLI;;1-phosphofructokinase OS=Escherichia coli (strain K12) OX=83333 GN=fruK PE=3 SV=1;312;33734.351;58.97;15;561010;611291;633237;2266500;2311315;2387991
C8Z9E6_YEAS8;ENO1_YEAST_CONTA C8Z9E6_YEAS8;Eno1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1G1_5908g PE=3 SV=1;437;46773.255;58.81;23;4300257;4746355;4199255;3599271;3266714;3448669
C8ZHC3_YEAS8;;Glutamate dehydrogenase OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1O4_6238g PE=3 SV=1;454;49538.906;58.81;21;1444358;1568812;1571165;716294;735904;702033
HNRH1_HUMAN;;Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens OX=9606 GN=HNRNPH1 PE=1 SV=4;449;49198.409;58.8;20;2213378;2310389;2389512;2206074;2214763;2179905
C8ZBJ8_YEAS8;;Cyc1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1J11_3081g PE=3 SV=1;109;12174.163;58.72;7;279660;237198;246851;124401;112417;112838
MTAP_HUMAN;;S-methyl-5'-thioadenosine phosphorylase OS=Homo sapiens OX=9606 GN=MTAP PE=1 SV=2;283;31215.843;58.66;11;266580;261940;254686;167213;240197;167193
C8Z6M3_YEAS8;;Rpp1ap OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1D0_1464g PE=3 SV=1;106;10901.259;58.49;3;221382;227205;211484;94766;111426;105064
PSA7_HUMAN;;Proteasome subunit alpha type-7 OS=Homo sapiens OX=9606 GN=PSMA7 PE=1 SV=1;248;27869.615;58.47;11;868870;877359;862514;809304;791194;742760
ANXA1_HUMAN;;Annexin A1 OS=Homo sapiens OX=9606 GN=ANXA1 PE=1 SV=2;346;38689.979;58.38;17;3125998;3137273;3072188;3085878;3108665;3060762
IF1AX_HUMAN;;Eukaryotic translation initiation factor 1A, X-chromosomal OS=Homo sapiens OX=9606 GN=EIF1AX PE=1 SV=2;144;16450.225;58.33;7;319798;327193;334959;305781;326621;301298
KCRB_HUMAN;;Creatine kinase B-type OS=Homo sapiens OX=9606 GN=CKB PE=1 SV=1;381;42617.318;58.27;16;1664847;1726675;1722257;1702195;1703461;1665188
USPE_ECOLI;;Universal stress protein E OS=Escherichia coli (strain K12) OX=83333 GN=uspE PE=1 SV=2;316;35684.308;58.23;11;102821;111786;124559;532967;453933;553488
KPYK2_ECOLI;;Pyruvate kinase II OS=Escherichia coli (strain K12) OX=83333 GN=pykA PE=1 SV=3;480;51324.681;58.13;17;370739;361436;351928;1507975;1563288;1537933
S10AB_HUMAN;;Protein S100-A11 OS=Homo sapiens OX=9606 GN=S100A11 PE=1 SV=2;105;11732.825;58.1;7;897963;888625;864498;873023;847590;830511
HMGN1_HUMAN;;Non-histone chromosomal protein HMG-14 OS=Homo sapiens OX=9606 GN=HMGN1 PE=1 SV=3;100;10652.593;58.0;4;128789;83182;119938;122784;137679;138114
RLA1_HUMAN;;60S acidic ribosomal protein P1 OS=Homo sapiens OX=9606 GN=RPLP1 PE=1 SV=1;114;11506.688;57.89;3;451301;500685;490931;420665;402686;422605
UBE2N_HUMAN;;Ubiquitin-conjugating enzyme E2 N OS=Homo sapiens OX=9606 GN=UBE2N PE=1 SV=1;152;17126.974;57.89;7;139799;183848;191107;168150;152398;191274
C8Z7N7_YEAS8;;Phosphomannomutase OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1F14_0331g PE=3 SV=1;254;29044.701;57.87;14;617306;639628;636890;203223;234950;208113
PA2G4_HUMAN;;Proliferation-associated protein 2G4 OS=Homo sapiens OX=9606 GN=PA2G4 PE=1 SV=3;394;43759.187;57.87;20;1156038;1138739;1191853;1233100;1143493;1130598
RL40_HUMAN;;Ubiquitin-60S ribosomal protein L40 OS=Homo sapiens OX=9606 GN=UBA52 PE=1 SV=2;128;14718.958;57.81;9;0;0;0;0;75499;0
OMPR_ECOLI;;Transcriptional regulatory protein OmpR OS=Escherichia coli (strain K12) OX=83333 GN=ompR PE=1 SV=1;239;27336.17;57.74;9;121823;110316;113036;546282;503541;535522
C8ZID9_YEAS8;;Hsp82p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1P2_0386g PE=3 SV=1;709;81369.996;57.69;38;1427455;1323645;1280723;531105;623567;543485
RISB_ECOLI;;6,7-dimethyl-8-ribityllumazine synthase OS=Escherichia coli (strain K12) OX=83333 GN=ribE PE=1 SV=1;156;16146.583;57.69;7;123915;155313;164479;628546;565343;631610
FABD_ECOLI;;Malonyl CoA-acyl carrier protein transacylase OS=Escherichia coli (strain K12) OX=83333 GN=fabD PE=1 SV=2;309;32396.389;57.61;9;124855;122590;127399;751247;707958;722969
ARF3_HUMAN;;ADP-ribosylation factor 3 OS=Homo sapiens OX=9606 GN=ARF3 PE=1 SV=2;181;20587.73;57.46;10;984303;882553;983672;981220;947307;1003393
STRAP_HUMAN;;Serine-threonine kinase receptor-associated protein OS=Homo sapiens OX=9606 GN=STRAP PE=1 SV=1;350;38413.974;57.43;15;960842;961881;920592;885522;946725;943013
GATY_ECOLI;;D-tagatose-1,6-bisphosphate aldolase subunit GatY OS=Escherichia coli (strain K12) OX=83333 GN=gatY PE=1 SV=1;284;30792.566;57.39;12;521194;643642;593352;2278879;2154758;2225626
RL1_ECOLI;;50S ribosomal protein L1 OS=Escherichia coli (strain K12) OX=83333 GN=rplA PE=1 SV=2;234;24714.297;57.26;11;734868;762920;743355;1774375;1817263;1494678
RU2A_HUMAN;;U2 small nuclear ribonucleoprotein A' OS=Homo sapiens OX=9606 GN=SNRPA1 PE=1 SV=2;255;28398.133;57.25;12;366426;350035;336939;284904;461301;335261
C8ZHC2_YEAS8;;Ald4p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1O4_6227g PE=3 SV=1;519;56688.187;57.23;22;1588671;1743630;1776783;800711;765307;826279
C8Z8L2_YEAS8;;Rpl30p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1G1_2641g PE=4 SV=1;105;11408.271;57.14;5;329017;357033;349564;156641;174783;172076
OSME_ECOLI;;Osmotically-inducible putative lipoprotein OsmE OS=Escherichia coli (strain K12) OX=83333 GN=osmE PE=2 SV=1;112;12012.903;57.14;4;83186;93507;97117;484250;450842;469032
PFD5_HUMAN;;Prefoldin subunit 5 OS=Homo sapiens OX=9606 GN=PFDN5 PE=1 SV=2;154;17316.997;57.14;7;271894;271273;282039;261181;269473;267275
GBG12_HUMAN;;Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12 OS=Homo sapiens OX=9606 GN=GNG12 PE=1 SV=3;72;8001.17;56.94;3;125586;126502;75195;55227;102986;69998
K1C17_HUMAN;K1C17_HUMAN K1C17_HUMAN_CONTA;Keratin, type I cytoskeletal 17 OS=Homo sapiens OX=9606 GN=KRT17 PE=1 SV=2;432;48076.044;56.94;27;2503015;2750482;2591429;2418204;2917167;2543225
ATPA_ECOLI;;ATP synthase subunit alpha OS=Escherichia coli (strain K12) OX=83333 GN=atpA PE=1 SV=1;513;55187.748;56.92;24;1017740;1036570;959054;3590866;3295514;3597489
RL14_ECOLI;;50S ribosomal protein L14 OS=Escherichia coli (strain K12) OX=83333 GN=rplN PE=1 SV=1;123;13532.451;56.91;6;276106;303115;286111;1157822;1233138;1153870
CH10_HUMAN;;10 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPE1 PE=1 SV=2;102;10924.871;56.86;8;1227089;1195807;1037861;996875;1217668;1177995
PDCD5_HUMAN;;Programmed cell death protein 5 OS=Homo sapiens OX=9606 GN=PDCD5 PE=1 SV=3;125;14276.341;56.8;7;207366;228792;238626;193686;217855;189973
TBB5_HUMAN;;Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2;444;49638.971;56.76;19;3253537;3332815;2984398;3932687;2729439;3051053
C8ZBR9_YEAS8;;ATP synthase subunit beta OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1J19_0727g PE=3 SV=1;511;54831.945;56.75;19;2216214;2406651;2540424;1090730;1189709;1069898
GDIB_HUMAN;;Rab GDP dissociation inhibitor beta OS=Homo sapiens OX=9606 GN=GDI2 PE=1 SV=2;445;50630.878;56.63;19;1597566;1614114;1563501;1259007;1536804;1293209
GLRX3_ECOLI;;Glutaredoxin 3 OS=Escherichia coli (strain K12) OX=83333 GN=grxC PE=1 SV=2;83;9131.634;56.63;4;31944;33348;38281;169991;173363;162975
RAN_HUMAN;;GTP-binding nuclear protein Ran OS=Homo sapiens OX=9606 GN=RAN PE=1 SV=3;216;24407.618;56.48;9;1432151;1323742;1314962;1318272;1306538;1255458
ETFA_HUMAN;;Electron transfer flavoprotein subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ETFA PE=1 SV=1;333;35057.582;56.46;14;1108109;1112350;1026020;1036865;1158001;1123381
EF1B_HUMAN;;Elongation factor 1-beta OS=Homo sapiens OX=9606 GN=EEF1B2 PE=1 SV=3;225;24748.262;56.44;11;1245010;1241421;1279753;1129006;1241995;1239935
RL22_ECOLI;;50S ribosomal protein L22 OS=Escherichia coli (strain K12) OX=83333 GN=rplV PE=1 SV=1;110;12218.77;56.36;5;102494;104610;103391;468234;429614;484815
PT1_ECOLI;;Phosphoenolpyruvate-protein phosphotransferase OS=Escherichia coli (strain K12) OX=83333 GN=ptsI PE=1 SV=1;575;63521.907;56.35;23;440428;468731;447314;2004651;2139647;1692234
RBM8A_HUMAN;;RNA-binding protein 8A OS=Homo sapiens OX=9606 GN=RBM8A PE=1 SV=1;174;19876.731;56.32;7;167005;151129;172009;77479;183877;76774
BTF3_HUMAN;;Transcription factor BTF3 OS=Homo sapiens OX=9606 GN=BTF3 PE=1 SV=1;206;22154.419;56.31;9;640734;644465;638456;581161;665747;616392
C8ZG50_YEAS8;;Rps3p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1N9_1706g PE=3 SV=1;240;26486.2;56.25;13;1722039;1652602;1622713;936942;949693;977200
RL7_ECOLI;;50S ribosomal protein L7/L12 OS=Escherichia coli (strain K12) OX=83333 GN=rplL PE=1 SV=2;121;12287.513;56.2;8;90950;96680;97470;1505425;1766173;1684185
